,,,Type,,Date,,Num,,P. O. #,,Name,,Terms,,Due Date,,Aging,,Open Balance
Current,,,,,,,,,,,,,,,,,,,
,,,Invoice,,05/20/2026,,24527,,NGC 84803-0499,,Nicor Gas-,,"2% 15, Net 30",,06/19/2026,,11,,750.97
,,,Invoice,,05/20/2026,,24548,,NGC84803-0500,,Nicor Gas-,,"2% 15, Net 30",,06/19/2026,,11,,"1,606.76"
,,,Invoice,,05/20/2026,,24547,,NGC84803-0500,,Nicor Gas-,,"2% 15, Net 30",,06/19/2026,,11,,"1,115.81"
,,,Invoice,,05/20/2026,,24473,,NGC 84803-0496,,NICOR NIPPLES,,"2% 15, Net 30",,06/19/2026,,11,,"9,256.49"
,,,Invoice,,05/20/2026,,24425,,NGC84803-0490,,NICOR NIPPLES,,"2% 15, Net 30",,06/19/2026,,11,,"6,441.22"
,,,Invoice,,05/20/2026,,24525,,NGC 84803-0498,,NICOR NIPPLES,,"2% 15, Net 30",,06/19/2026,,11,,"4,477.84"
,,,Invoice,,05/20/2026,,24526,,NGC 84803-0499,,NICOR NIPPLES,,"2% 15, Net 30",,06/19/2026,,11,,"8,749.25"
,,,Invoice,,05/20/2026,,24426,,NGC84803-0491,,NICOR NIPPLES,,"2% 15, Net 30",,06/19/2026,,11,,"13,805.54"
,,,Invoice,,05/21/2026,,24584,,306209000042,,C&G Construction- FE Moran,,Net 30,,06/20/2026,,10,,"6,403.96"
,,,Invoice,,05/21/2026,,24571,,3221005681,,F.E. Moran Inc.,,"5% 30, Net 45",,07/05/2026,,10,,"32,215.75"
,,,Invoice,,05/21/2026,,24585,,112446,,Great Lakes Plumbing & Heating  Co.,,"5% 30, Net 45",,07/05/2026,,10,,670.57
,,,Invoice,,05/21/2026,,24595,,34175003,,HILL,,"5% 30, Net 45",,07/05/2026,,10,,"2,508.61"
,,,Invoice,,05/21/2026,,24594,,34175003,,HILL,,"5% 30, Net 45",,07/05/2026,,10,,"2,787.33"
,,,Invoice,,05/22/2026,,24607,,112680-38222,,Great Lakes Plumbing & Heating  Co.,,"5% 30, Net 45",,07/06/2026,,9,,918.96
,,,Invoice,,05/22/2026,,24596,,34175003,,HILL,,"5% 30, Net 45",,07/06/2026,,9,,"12,162.94"
,,,Invoice,,05/27/2026,,24606,,CFP25-1903,,"Chicago Fire Protection, LLC",,"5% 30, Net 45",,07/11/2026,,4,,16.59
,,,Invoice,,05/27/2026,,24612,,302505040001,,F.E. Moran Inc.,,"5% 30, Net 45",,07/11/2026,,4,,"4,176.77"
,,,Invoice,,05/27/2026,,24541,,4502963075,,A.O. Smith WPC,,Net 30,,06/26/2026,,4,,"2,750.00"
,,,Invoice,,05/28/2026,,24614,,CFP24-0007,,"Chicago Fire Protection, LLC",,"5% 30, Net 45",,07/12/2026,,3,,124.90
